GeneId	Chr	Start	End	Intron_Start	Intron_End	Log2TPMRatio	TPM_1	TPM_2	minusLog10PValue	PValue	RValue_1	RValue_2
PRORY	chrY	23544860	23548246	23545683	23545798	5.12106	0.0489769	0.00140734	4.30171	4.99218e-05	-0.860624	-1.10653
RBMY2EP	chrY	23557034	23563448	23557868	23562808	5.22174	0.00853242	0.00022865	5.52116	3.01192e-06	-1.57855	0.710176
RBMY1D#3	chrY	24026223	24040633	24032860	24034774	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
RBMY1E#2	chrY	24026223	24040633	24032860	24034774	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
RBMY1A1#3	chrY	24026223	24040639	24032860	24034774	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
RBMY1B#3	chrY	24026223	24040673	24032860	24034774	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
RBMY1D#4	chrY	24049765	24064174	24050342	24050752	-1.91279	0.0001	0.000376537	2.12978	0.00741693	0.616744	-0.368757
RBMY1D#4	chrY	24049765	24064174	24056401	24058315	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
RBMY1E#3	chrY	24049765	24064174	24050342	24050752	-1.91279	0.0001	0.000376537	2.12978	0.00741693	0.616744	-0.368757
RBMY1E#3	chrY	24049765	24064174	24056401	24058315	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
RBMY1B#4	chrY	24049765	24064214	24050342	24050752	-1.91279	0.0001	0.000376537	2.12978	0.00741693	0.616744	-0.368757
RBMY1B#4	chrY	24049765	24064214	24056401	24058315	-1.89098	0.000133507	0.00049516	2.21635	0.00607646	1.90824	0.272359
PRY#1	chrY	24217903	24242154	24228343	24230917	-1.98978	0.000122189	0.000485307	2.06953	0.00852069	-2.98552	0.291875
PRY2#1	chrY	24217903	24242154	24228343	24230917	-1.98978	0.000122189	0.000485307	2.06953	0.00852069	-2.98552	0.291875
LOC101929148#1	chrY	24247839	24293631	24252233	24253698	-1.85237	0.0001	0.000361094	2.12978	0.00741693	-1.27159	-0.291898
LOC101929148#1	chrY	24247839	24293631	24253789	24267430	-1.09078	0.000100671	0.000214418	2.91192	0.00122484	5.88675	-1.85789
LOC101929148#1	chrY	24247839	24293631	24268334	24275511	-0.865578	0.000114602	0.000208813	2.01929	0.00956558	2.87398	0.800092
RBMY1F#2	chrY	24455010	24564028	24466532	24549622	0.429147	0.000471322	0.000350051	2.4958	0.00319302	0.00344985	0.0025937
RBMY1F#2	chrY	24455010	24564028	24555477	24557391	-1.64944	0.000122621	0.000384678	2.04433	0.00902965	2.37415	0.379082
RBMY1J#2	chrY	24549623	24564028	24555477	24557391	-1.64944	0.000122621	0.000384678	2.04433	0.00902965	2.37415	0.379082
LOC101929148#2	chrY	24585087	24630861	24603199	24610376	-0.865578	0.000114602	0.000208813	2.01929	0.00956558	2.87398	0.800092
LOC101929148#2	chrY	24585087	24630861	24611280	24624911	-1.01004	0.000100672	0.00020275	2.91192	0.00122484	5.8857	-1.14073
LOC101929148#2	chrY	24585087	24630861	24626804	24628603	-1.46069	0.0001	0.00027524	3.01202	0.000972702	-1.27159	-0.386982
PRY#2	chrY	24636544	24660784	24647781	24650355	-1.98978	0.000122189	0.000485307	2.06953	0.00852069	-2.0641	-0.856832
PRY2#2	chrY	24636544	24660784	24647781	24650355	-1.98978	0.000122189	0.000485307	2.06953	0.00852069	-2.0641	-0.856832
BPY2#1	chrY	25130410	25151610	25130839	25133903	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	0.707603
BPY2#1	chrY	25130410	25151610	25140746	25143598	-2.11316	0.000118635	0.000513258	2.04433	0.00902965	2.59278	0.274365
BPY2C#1	chrY	25130410	25151610	25130839	25133903	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	0.707603
BPY2C#1	chrY	25130410	25151610	25140746	25143598	-2.11316	0.000118635	0.000513258	2.04433	0.00902965	2.59278	0.274365
BPY2B#1	chrY	25130410	25151610	25130839	25133903	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	0.707603
BPY2B#1	chrY	25130410	25151610	25140746	25143598	-2.11316	0.000118635	0.000513258	2.04433	0.00902965	2.59278	0.274365
GOLGA2P2Y#1	chrY	26356114	26360978	26358904	26359199	-2.32942	0.000150021	0.000754008	2.06953	0.00852069	-1.52448	0.180967
GOLGA2P3Y#1	chrY	26356114	26360978	26358904	26359199	-2.32942	0.000150021	0.000754008	2.06953	0.00852069	-1.52448	0.180967
BPY2#2	chrY	26764151	26785352	26764580	26767644	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	0.707603
BPY2C#2	chrY	26764151	26785352	26764580	26767644	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	0.707603
BPY2B#2	chrY	26764151	26785352	26764580	26767644	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	0.707603
DAZ3#2	chrY	26909216	26959639	26915145	26919716	-1.59253	0.000124638	0.000375881	2.01929	0.00956558	2.27965	-2.34271
DAZ4#3	chrY	26909216	26959639	26915145	26919716	-1.59253	0.000124638	0.000375881	2.01929	0.00956558	2.27965	-2.34271
DAZ3#3	chrY	26979967	27053187	27042687	27047258	-1.59253	0.000124638	0.000375881	2.01929	0.00956558	2.27965	0.389265
DAZ4#4	chrY	26979967	27053187	27042687	27047258	-1.59253	0.000124638	0.000375881	2.01929	0.00956558	2.27965	0.389265
DAZ2#2	chrY	26979990	27053187	27042687	27047258	-1.59253	0.000124638	0.000375881	2.01929	0.00956558	2.27965	0.389265
BPY2#3	chrY	27177050	27198251	27177589	27184138	-1.31387	0.000116372	0.000289309	2.01929	0.00956558	2.74137	0.529583
BPY2#3	chrY	27177050	27198251	27194758	27197822	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	-2.51521
BPY2C#3	chrY	27177050	27198251	27177589	27184138	-1.31387	0.000116372	0.000289309	2.01929	0.00956558	2.74137	0.529583
BPY2C#3	chrY	27177050	27198251	27194758	27197822	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	-2.51521
BPY2B#3	chrY	27177050	27198251	27177589	27184138	-1.31387	0.000116372	0.000289309	2.01929	0.00956558	2.74137	0.529583
BPY2B#3	chrY	27177050	27198251	27194758	27197822	-0.944794	0.000119119	0.000229294	2.01929	0.00956558	2.56355	-2.51521
IL9R	chrY	59330252	59343488	59336527	59337090	-1.96825	0.000324719	0.0012706	2.80492	0.00156702	-2.2118	-0.637638
IL9R	chrY	59330252	59343488	59338151	59338753	1.61562	0.0220473	0.00719459	5.89898	1.26188e-06	-0.103637	-0.0747646
DDX11L16	chrY	59358329	59360854	59360116	59360500	1.30436	0.0254632	0.0103101	2.96843	0.00107541	-1.95696	-0.516028
PLCXD1	chrX	192991	220022	198352	200833	1.5621	0.271429	0.0919214	8.44738	3.56959e-09	-0.460062	-0.0969589
PPP2R3B	chrX	294668	347690	295253	299338	3.11525	0.35564	0.041042	14.6423	2.2787e-15	-0.394112	-0.745303
SHOX	chrX	585079	620146	585338	591200	-1.90752	0.000293156	0.00109982	2.10241	0.00789936	0.519594	0.0953944
CSF2RA	chrX	1387693	1428828	1393736	1401301	1.33735	0.00609378	0.00241159	4.17964	6.61235e-05	-3.90311	-0.458462
CSF2RA	chrX	1387693	1428828	1422913	1424338	0.660245	0.00573964	0.00363187	2.07689	0.00837744	-3.80784	-0.288375
CSF2RA	chrX	1387693	1428828	1424712	1428294	1.46003	0.00880317	0.00319983	3.59447	0.000254409	-0.876972	-0.363605
IL3RA	chrX	1455509	1501582	1471126	1471214	0.460931	3.76351	2.73425	2.43655	0.00365976	-0.77314	-0.82177
ARSE	chrX	2852673	2886351	2878462	2882264	-1.34597	0.000143276	0.000364209	3.83134	0.000147456	-2.56572	0.328043
ARSH	chrX	2924654	2951426	2924746	2928070	-1.27699	0.000175219	0.000424614	2.43312	0.00368873	1.10598	-2.68999
ARSF	chrX	2958275	3030770	2958383	2959511	-2.07877	0.000184003	0.000777315	2.92141	0.00119836	1.09623	-0.669587
NLGN4X	chrX	5808067	6146923	6105831	6144920	0.235474	0.000334359	0.000284006	2.86674	0.00135913	0.309825	0.139546
HDHD1	chrX	6966961	7066231	7065979	7066093	-2.22949	0.0326329	0.153037	11.9886	1.02667e-12	-0.580664	-0.0431897
STS	chrX	7137472	7272682	7137728	7171236	-1.39133	0.000520965	0.0013666	6.893	1.27938e-07	-1.59367	-0.574934
ANOS1	chrX	8496915	8700227	8504984	8507704	3.16704	0.00277583	0.000309043	4.13461	7.33478e-05	-0.0494478	0.465226
ANOS1	chrX	8496915	8700227	8507800	8521992	3.0823	0.0113614	0.00134143	5.13569	7.31654e-06	-0.759305	-0.751129
GPR143	chrX	9693453	9734005	9693881	9707524	-0.733251	0.034452	0.0572724	4.77663	1.67253e-05	-0.696393	-0.712874
GPR143	chrX	9693453	9734005	9707760	9709377	-0.941343	0.0250186	0.0480437	3.91798	0.000120788	-1.3689	-0.898759
SHROOM2	chrX	9754496	9917481	9754751	9841691	-0.142468	0.00521296	0.00575402	2.23911	0.00576625	0	0
SHROOM2	chrX	9754496	9917481	9864739	9866229	-2.24261	0.00018694	0.000884698	2.06181	0.00867348	0.115571	-0.850358
MID1	chrX	10413350	10851809	10645780	10851672	0.685197	0.000841411	0.000523291	3.8752	0.000133291	-0.454613	0.000739771
ARHGAP6	chrX	11155663	11683821	11318882	11445667	1.34679	0.00104429	0.000410577	2.6733	0.00212179	-0.435229	0.00822903
MSL3	chrX	11776278	11793872	11776893	11777734	-0.874531	0.071677	0.131413	4.77663	1.67253e-05	-0.808753	-0.977878
FRMPD4	chrX	12156585	12742642	12516916	12627839	-0.608109	0.000369988	0.000563957	3.01883	0.000957579	-0.899463	0.00280776
FRMPD4	chrX	12156585	12742642	12628001	12632897	-1.50918	0.00014089	0.000401042	2.56114	0.002747	1.58152	0.294604
FRMPD4	chrX	12156585	12742642	12633001	12692981	-0.974937	0.000247422	0.000486322	3.81528	0.000153009	0.140713	0.0152768
FRMPD4	chrX	12156585	12742642	12712574	12719992	-0.976152	0.000152751	0.000300493	2.8017	0.0015787	-1.05189	0.339222
EGFL6	chrX	13587694	13651694	13588055	13607674	1.05322	0.000400541	0.000193017	2.40882	0.00390107	-0.565347	0.391037
EGFL6	chrX	13587694	13651694	13626566	13635848	2.3016	0.00889588	0.00180443	14.3895	4.07831e-15	0	-0.459929
TCEANC	chrX	13671225	13683527	13671432	13673407	0.817887	0.0327002	0.0185499	5.17686	6.65482e-06	-1.25609	-0.923443
GPM6B	chrX	13789062	13956831	13791150	13792092	1.82008	0.440415	0.124728	12.0431	9.0562e-13	-0.922858	-0.834299
GPM6B	chrX	13789062	13956831	13792744	13794356	1.88127	0.707544	0.192059	12.1774	6.6464e-13	-0.815028	-0.739997
GLRA2	chrX	14547420	14749933	14550495	14592454	1.62609	0.000923954	0.00029933	6.11536	7.66721e-07	-0.239964	0.0222581
GLRA2	chrX	14547420	14749933	14592682	14599304	1.43075	0.000373526	0.000138555	2.26893	0.00538355	-2.23565	1.59193
GLRA2	chrX	14547420	14749933	14599529	14622436	1.49555	0.000458273	0.000162525	5.05875	8.73475e-06	-1.06752	0.723833
GLRA2	chrX	14547420	14749933	14622520	14625252	1.9319	0.00189531	0.000496729	3.34986	0.000446823	-1.86681	0.220392
GLRA2	chrX	14547420	14749933	14627328	14708831	1.95867	0.00462257	0.00118923	13.6243	2.37525e-14	-0.388152	0
ASB9	chrX	15262109	15288589	15277068	15287902	-1.67029	0.000217087	0.000690942	4.25594	5.54696e-05	-2.91582	0.0632328
ASB11	chrX	15299831	15333746	15307761	15311291	-1.99102	0.000340268	0.00135263	5.86276	1.37162e-06	-0.570919	-1.85534
PIR-FIGF	chrX	15363713	15509432	15497945	15509284	-0.723309	0.000198437	0.000327612	2.1904	0.00645064	-2.89338	0.229326
PIR	chrX	15402924	15511711	15497945	15509284	-0.656521	0.000192195	0.000302952	2.22493	0.00595761	-2.87847	0.249702
BMX	chrX	15518900	15574652	15568121	15574195	-0.10611	0.0822492	0.0885267	2.72191	0.00189711	-0.0671158	-0.00600271
ACE2	chrX	15579156	15620192	15610446	15612967	-2.06228	0.000147256	0.00061501	2.78383	0.00164503	-3.52522	0.195064
GS1-594A7.3	chrX	15621004	15639607	15621105	15639134	-0.74477	0.000253417	0.000424653	3.0101	0.000977018	0.264814	0.0253995
CA5BP1	chrX	15693039	15721474	15693080	15693812	0.738622	0.356326	0.21355	3.6134	0.000243559	-0.952271	-0.720287
S100G	chrX	16668281	16672791	16668327	16669121	5.28442	0.00702365	0.000180216	5.73489	1.84122e-06	-2.40436	1.10265
S100G	chrX	16668281	16672791	16669265	16672527	3.33635	0.0120081	0.00118886	12.6845	2.06757e-13	-0.451958	0.0596443
NHS	chrX	17393543	17754113	17394446	17444003	-0.370481	0.000139793	0.000180722	2.32643	0.00471596	0.941419	0.45498
SCML1	chrX	17755569	17773108	17755801	17762190	-2.38309	0.121985	0.636341	10.3494	4.47291e-11	-0.721441	-1.03717
BEND2	chrX	18181051	18239024	18230801	18231893	-1.92941	0.00016348	0.000622693	2.94451	0.00113629	1.31862	0.202329
BEND2	chrX	18181051	18239024	18232032	18234640	-1.76828	0.000269749	0.000918891	3.29116	0.000511499	-0.353515	0.102404
BEND2	chrX	18181051	18239024	18234854	18238845	-1.15606	0.000286755	0.00063903	2.24083	0.00574335	0.489265	0.140401
ADGRG2	chrX	19007425	19140755	19009167	19013013	3.55156	0.00751198	0.000640663	12.2061	6.22142e-13	-0.976035	-0.505166
ADGRG2	chrX	19007425	19140755	19014271	19017113	2.83102	0.00747849	0.00105097	9.58993	2.57081e-10	-1.22111	-0.569601
ADGRG2	chrX	19007425	19140755	19017398	19017978	1.80619	0.00504105	0.00144146	2.62871	0.00235122	-1.619	-0.947947
ADGRG2	chrX	19007425	19140755	19018079	19020963	2.46453	0.00799831	0.00144911	9.79599	1.59958e-10	-0.784563	-1.71976
ADGRG2	chrX	19007425	19140755	19021233	19022875	3.60389	0.00831121	0.000683572	10.1066	7.82282e-11	-1.37801	-0.972293
ADGRG2	chrX	19007425	19140755	19022998	19024119	3.31277	0.00877083	0.000882669	8.52848	2.96155e-09	-1.07455	-0.651718
ADGRG2	chrX	19007425	19140755	19024224	19024337	3.35158	0.0136302	0.0013353	2.03236	0.00928206	-1.0713	-0.824951
ADGRG2	chrX	19007425	19140755	19026242	19027743	3.28007	0.0094137	0.000969084	8.27122	5.35528e-09	-0.930283	0.102827
ADGRG2	chrX	19007425	19140755	19027901	19028730	2.23555	0.00827668	0.00175747	4.86164	1.37519e-05	-1.50874	-0.767163
ADGRG2	chrX	19007425	19140755	19037784	19039221	3.33343	0.00358446	0.0003556	5.14552	7.15281e-06	-1.81401	0.435152
ADGRG2	chrX	19007425	19140755	19046357	19049101	3.50416	0.00231884	0.000204368	6.05323	8.84648e-07	-1.40433	0.870566
ADGRG2	chrX	19007425	19140755	19049156	19051730	2.59699	0.00259086	0.000428225	5.1019	7.90868e-06	-2.28334	0.3045
ADGRG2	chrX	19007425	19140755	19051773	19054059	3.6665	0.00335023	0.000263846	7.54793	2.83184e-08	-1.67497	0.623564
ADGRG2	chrX	19007425	19140755	19058343	19086834	3.78959	0.0137463	0.00099405	14.0353	9.22012e-15	-0.570303	0
ADGRG2	chrX	19007425	19140755	19086954	19100819	3.0004	0.00507451	0.000634139	10.645	2.26489e-11	-1.75793	-0.905109
MAP3K15	chrX	19378176	19533379	19482525	19504599	0.435572	0.00322265	0.00238283	2.08103	0.00829798	-0.896602	-1.59844
LOC729609	chrX	20004935	20007897	20005469	20007803	2.0406	0.0299983	0.00729148	13.1194	7.59643e-14	-0.970991	-1.17431
PTCHD1	chrX	23352985	23414918	23353344	23397707	-0.72814	0.000607757	0.00100675	2.61538	0.00242446	0.0410677	0.00531727
PTCHD1	chrX	23352985	23414918	23398369	23410647	-1.80232	0.000344493	0.00120152	6.84652	1.42389e-07	-1.42751	-0.817767
APOO	chrX	23851465	23926057	23851730	23858429	-0.841062	16.318	29.2315	14.3686	4.28e-15	-0.0188742	-0.00623751
CXorf58	chrX	23926123	23957624	23945488	23953312	1.64096	0.00476421	0.00152761	8.43944	3.6355e-09	-1.62184	-0.496563
CXorf58	chrX	23926123	23957624	23953543	23956663	1.19295	0.00241207	0.00105506	2.95799	0.00110156	-1.4561	0.0463159
PCYT1B	chrX	24576204	24690979	24665456	24690686	-1.04159	0.000216937	0.000446564	2.51163	0.00307872	-3.40459	0.0253616
POLA1	chrX	24712064	25015102	24767110	24828014	-0.856458	0.693139	1.25499	13.5632	2.7341e-14	-0.886057	-0.174553
IL1RAPL1	chrX	28605681	29974017	29417426	29592394	5.01715	0.00643596	0.000198747	10.9129	1.22206e-11	0.000788853	0.379498
MAGEB3	chrX	30248553	30255610	30251481	30253980	-1.81291	0.000136411	0.000479281	2.21635	0.00607646	1.82605	0.282325
MAGEB1	chrX	30261848	30270155	30265590	30268550	-1.50346	0.000120357	0.000341239	3.01436	0.000967475	2.42454	0.393617
DMD	chrX	31137345	33357726	31341776	31366672	4.33715	0.00521165	0.000257847	6.4548	3.50917e-07	-9.09031	0.272938
DMD	chrX	31137345	33357726	31462745	31496222	4.53352	0.00795069	0.000343304	6.84898	1.41585e-07	-7.81626	0.149457
DMD	chrX	31137345	33357726	31497221	31514904	4.91189	0.00553217	0.000183768	7.1661	6.82184e-08	-8.22218	0.561638
DMD	chrX	31137345	33357726	31526416	31645789	4.60098	0.0163473	0.000673619	12.3901	4.07288e-13	-1.29451	0
DMD	chrX	31137345	33357726	31697704	31747747	3.62237	0.00278701	0.000226307	8.5945	2.54392e-09	-9.41836	0.0842539
DMD	chrX	31137345	33357726	31747866	31792076	2.99432	0.00406134	0.000509672	6.20279	6.26921e-07	-9.32902	-0.978749
DMD	chrX	31137345	33357726	31792310	31838091	3.97657	0.00371813	0.000236188	4.87942	1.32e-05	-8.93202	-0.973611
DMD	chrX	31137345	33357726	31893491	31947712	-0.438735	0.000553634	0.000750404	2.69555	0.00201582	-3.74745	0
DMD	chrX	31137345	33357726	32235181	32305645	1.66809	0.00139428	0.000438737	11.1792	6.61946e-12	-3.08834	0
DMD	chrX	31137345	33357726	32328394	32360216	2.21371	0.000937856	0.000202182	3.45251	0.000352769	-4.34166	0.628225
DMD	chrX	31137345	33357726	32472950	32481555	-0.946455	0.000107005	0.000206213	3.28787	0.000515383	-7.40265	0.683092
DMD	chrX	31137345	33357726	32519960	32536124	-0.926495	0.000164689	0.000313016	3.42776	0.000373456	-6.7443	0.201171
DMD	chrX	31137345	33357726	32536249	32563275	-0.35284	0.000184614	0.000235765	2.54748	0.0028348	-5.78701	0.26728
DMD	chrX	31137345	33357726	33038318	33146179	0.990942	0.00590501	0.0029711	7.26566	5.42427e-08	-1.7566	-0.588134
DMD	chrX	31137345	33357726	33229674	33357375	-0.404513	0.000520352	0.00068876	2.86608	0.0013612	-1.0815	0
MAGEB16	chrX	35816459	35821852	35816672	35820247	-1.84805	0.000146481	0.000527354	2.32329	0.00475022	-0.380259	0.230206
CFAP47	chrX	35937851	36403434	35944286	35959399	1.10007	0.00154146	0.000719084	4.40585	3.92785e-05	0.00580088	-0.602279
CFAP47	chrX	35937851	36403434	35959516	35966430	-1.1783	0.000111075	0.000251374	2.99098	0.00102098	3.07983	0.565213
CFAP47	chrX	35937851	36403434	36033030	36049369	-0.622575	0.000110291	0.000169807	2.21632	0.00607688	2.65525	0.82681
CFAP47	chrX	35937851	36403434	36065181	36083759	-0.637639	0.00011117	0.000172956	2.24557	0.0056811	2.45326	0.806625
CFAP47	chrX	35937851	36403434	36103656	36116909	-0.930489	0.000102255	0.00019489	2.52814	0.00296385	-0.314932	0.781132
CFAP47	chrX	35937851	36403434	36156582	36163335	-0.972936	0.000109477	0.000214885	2.83148	0.00147407	3.38109	0.72839
CFAP47	chrX	35937851	36403434	36167341	36177542	-0.82621	0.000145903	0.000258689	2.91886	0.00120542	1.22544	0.348791
CFAP47	chrX	35937851	36403434	36178887	36197461	0.61669	0.00274462	0.00178995	4.6821	2.0792e-05	0	0
CFAP47	chrX	35937851	36403434	36223228	36246744	-0.967639	0.000125691	0.000245806	3.45838	0.000348036	-1.17054	0.314515
CFAP47	chrX	35937851	36403434	36246942	36254050	0.564582	0.00718932	0.00486107	3.12755	0.000745498	-0.0362168	0
CFAP47	chrX	35937851	36403434	36254977	36269447	-0.7141	0.000104725	0.000171796	3.69702	0.000200899	3.94779	0.869681
CFAP47	chrX	35937851	36403434	36386213	36397464	-0.650048	0.0186492	0.0292647	7.59436	2.54474e-08	0.000398817	0
RP11-87M18.2	chrX	36383741	36458375	36386213	36397464	-0.650048	0.0186492	0.0292647	7.59436	2.54474e-08	0.000398817	0
RP11-87M18.2	chrX	36383741	36458375	36447156	36449142	2.68501	0.00255002	0.000396527	3.54215	0.000286979	0.0270824	0.348919
PRRG1	chrX	37208528	37316548	37208723	37245851	-1.13468	0.000106118	0.000233003	2.09859	0.00796916	2.2732	0.518732
SYTL5	chrX	37865835	37988073	37890344	37892786	-0.884977	0.0001	0.000184673	2.12978	0.00741693	-3.1774	1.004
SYTL5	chrX	37865835	37988073	37893262	37913465	-0.643728	0.00016149	0.000252306	2.04646	0.00898537	-0.210786	0.208846
SYTL5	chrX	37865835	37988073	37913676	37931299	-0.543169	0.000121862	0.000177574	2.00801	0.00981725	-0.788309	-1.5029
SYTL5	chrX	37865835	37988073	37935955	37948698	-0.954323	0.000106148	0.00020568	2.06181	0.00867348	3.36933	0.727755
SYTL5	chrX	37865835	37988073	37966025	37967852	-1.52123	0.0001	0.000287036	3.01202	0.000972702	-1.72072	0.534659
SRPX	chrX	38008588	38080177	38033605	38037537	-1.51306	0.000183439	0.000523562	5.13875	7.26522e-06	-2.8509	-0.553457
RPGR	chrX	38128423	38186788	38146499	38147113	-2.70712	0.461234	3.01195	14.6423	2.2787e-15	-0.748088	-0.637799
OTC	chrX	38211736	38280703	38212027	38226543	-1.18961	0.000143763	0.000327911	3.47983	0.000331258	1.07335	0.210126
OTC	chrX	38211736	38280703	38271253	38280275	-0.282313	0.000170233	0.000207027	2.63509	0.00231691	-1.47446	0.41592
LINC01281	chrX	39164210	39186616	39167155	39181022	3.24521	0.00339361	0.000357897	9.12847	7.4392e-10	-0.436338	0.297384
LINC01281	chrX	39164210	39186616	39181185	39186476	3.92991	0.00221899	0.00014559	7.90916	1.23265e-08	-1.50007	1.56243
LINC01282	chrX	39226539	39251028	39238481	39250867	1.386	0.00049966	0.000191182	2.53741	0.00290128	-0.716246	0.753475
NYX	chrX	41306713	41334905	41307180	41332743	-0.991255	0.00115093	0.00228795	3.04695	0.000897538	-0.688749	-1.02698
CASK	chrX	41374189	41782287	41481888	41485856	3.35453	0.0161618	0.00158006	13.9534	1.11328e-14	-2.55817	0.0135907
CASK	chrX	41374189	41782287	41530784	41548225	-0.112358	0.366302	0.39597	2.23911	0.00576625	-2.60543	-0.997405
MAOA	chrX	43514155	43606071	43515663	43517109	-0.978282	0.0001	0.000197012	2.12978	0.00741693	-0.825458	-1.08462
MAOA	chrX	43514155	43606071	43517218	43542760	1.23738	0.00137625	0.000583722	8.36017	4.36349e-09	0.00108111	0.0277263
